Unnamed: 0,MGTNO,APVPERMYMD,TRDSTATENM,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,BPLCNM,UPTAENM,X,Y,TRDPJUBNSENM,WTRSPLYFACILSENM,dong,exemplary_diner,keyword,id,id_mod,id_mod2
9612,3220000-101-2021-01285,20211027,영업/정상,10.54,135859,서울특별시 강남구 도곡동 902-62 ,서울 강남구 남부순환로363길 12-3,복어마을,복어취급,203314.047884601,442673.359463567,,,도곡동,,복어마을,,157635901,157635901
9613,3220000-101-2021-01291,2021-10-28,영업/정상,306.16,135-929,서울특별시 강남구 역삼동 790-4,서울 강남구 역삼로 172,캐비넷클럽 라운지 역삼점,"외국음식전문점(인도,태국등)",203304.58,443670.4,,,역삼동,,캐비넷클럽 라운지 역삼,,334576431,334576431
9614,3220000-101-2021-01293,20211028,영업/정상,361.76,135955,서울특별시 강남구 청담동 120-5 ,서울 강남구 압구정로79길 20,청담해정,한식,204243.960450902,446971.609518525,,,청담동,,청담해정,['21418728'],1660047018,1660047018
9615,3220000-101-2021-01294,2021-10-29,영업/정상,71.52,135-919,서울특별시 강남구 역삼동 708-33 역삼동 벤처빌딩,서울 강남구 테헤란로52길 21,카페큐릉,기타,204222.892946797,444524.822711989,,,역삼동,,카페큐릉,['2016508167'],1674247815,1674247815
9616,3220000-101-2021-01296,20211029,영업/정상,92.15,135888,서울특별시 강남구 신사동 524-23 ,서울 강남구 압구정로10길 30-9,봉인(Bong Inn),호프/통닭,201831.280624569,446648.057572929,,,신사동,,봉인,['1072619186'],42045502,42045502
9617,3220000-101-2021-01297,2021-10-29,영업/정상,154.64,135-897,서울특별시 강남구 신사동 661-8,서울 강남구 선릉로161길 12,청도미나리식당 압구정점,한식,203418.016652935,447239.864312278,,,신사동,,청도미나리식당 압구정,,1906428686,1906428686
9618,3220000-101-2021-01298,20211029,영업/정상,222.98,135915,서울특별시 강남구 역삼동 676 센터필드 ,서울 강남구 테헤란로 231,모퉁이우 LAB,한식,203599.062771687,444556.062267296,,,역삼동,,모퉁이우 LAB,['1802574770'],1430107034,1430107034
9619,3220000-101-2021-01299,20211029,영업/정상,19.16,135917,서울특별시 강남구 역삼동 699-21,서울 강남구 언주로98길 21,강박사쌈밥(역삼점),한식,203785.897366183,444749.786103707,,,역삼동,,강박사쌈밥,, , 
9620,3220000-101-2021-01300,20211029,영업/정상,19.16,135917,서울특별시 강남구 역삼동 699-21,서울 강남구 언주로98길 21,해장은했니,한식,203785.897366183,444749.786103707,,,역삼동,,해장은했니,['1377492683'], , 
9621,3220000-101-2021-01301,20211029,영업/정상,19.16,135917,서울특별시 강남구 역삼동 699-21,서울 강남구 언주로98길 21,추억의냉삼(역삼점),한식,203785.897366183,444749.786103707,,,역삼동,,추억의냉삼,, , 
9622,3220000-101-2021-01302,20211029,영업/정상,19.16,135917,서울특별시 강남구 역삼동 699-21,서울 강남구 언주로98길 21,강도시락,한식,203785.897366183,444749.786103707,,,역삼동,,강도시락,['1844910122'], , 
9623,3220000-101-2021-01303,20211029,영업/정상,19.16,135917,서울특별시 강남구 역삼동 699-21,서울 강남구 언주로98길 21,추억의냉삼,한식,203785.897366183,444749.786103707,,,역삼동,,추억의냉삼,['2023215976'], , 
9624,3220000-101-2021-01304,20211029,영업/정상,41.06,135875,서울특별시 강남구 삼성동 123-19 ,서울 강남구 봉은사로68길 35,1.2.3,경양식,204491.004028031,445312.831718846,,,삼성동,,1.2.3,['1684702238'], , 
